id,age,workclass,education,education_num,marital-status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,50K
1,2,7,9,3,4,1,1,4,1,1,0,3,39,0
2,3,6,9,3,2,4,0,4,1,0,0,1,39,0
3,2,4,11,2,0,6,1,4,1,0,0,3,39,0
4,4,4,1,1,2,6,0,2,1,0,0,3,39,0
5,1,4,9,3,2,10,5,2,0,0,0,3,5,0
6,2,4,12,3,2,4,5,4,0,0,0,3,39,0
7,3,4,6,1,3,8,1,2,0,0,0,1,23,0
8,4,6,11,2,2,4,0,4,1,0,0,4,39,1
9,2,4,12,3,4,10,1,4,0,1,0,4,39,1
10,3,4,9,3,2,4,0,4,1,1,0,3,39,1
11,2,4,15,2,2,4,0,2,1,0,0,7,39,1
12,1,7,9,3,2,10,0,1,1,0,0,3,19,1
13,1,4,9,3,4,1,3,4,0,0,0,2,39,0
14,2,4,7,2,4,12,1,2,1,0,0,4,39,0
15,2,4,8,2,2,3,0,1,1,0,0,3,0,1
16,2,4,5,0,2,14,0,0,1,0,0,4,26,0
17,1,6,11,2,4,5,3,4,1,0,0,3,39,0
18,2,4,10,2,4,7,4,4,1,0,0,3,39,0
19,2,4,1,1,2,12,0,4,1,0,0,4,39,0
20,3,6,12,3,0,4,4,4,0,0,0,4,39,1
21,2,4,10,3,2,10,0,4,1,0,0,5,39,1
22,4,4,11,2,5,8,4,2,0,0,0,1,39,0
23,2,1,6,1,2,5,0,2,1,0,0,3,39,0
24,3,4,1,1,2,14,0,4,1,0,1,3,39,0
25,4,4,11,2,0,13,4,4,0,0,0,3,39,0
26,4,2,9,3,2,13,0,4,1,0,0,3,39,1
27,0,4,11,2,4,3,3,4,1,0,0,3,39,0
28,4,0,15,2,2,0,0,1,1,0,0,5,35,1
29,2,4,11,2,0,4,1,4,1,0,0,7,39,0
30,3,4,11,2,2,3,0,4,1,0,0,3,39,0
31,1,2,7,2,4,11,1,4,1,0,0,5,39,0
32,0,4,15,2,4,12,3,2,1,0,0,4,39,0
33,3,4,9,3,0,4,3,4,1,0,1,3,39,0
34,1,1,15,2,2,1,3,4,1,0,0,3,39,0
35,1,7,15,2,2,8,0,2,1,0,0,1,39,0
36,3,4,1,1,4,7,4,4,1,0,0,3,33,0
37,1,4,15,2,4,7,3,4,1,0,0,3,39,0
38,0,4,11,2,1,1,5,4,0,0,0,2,39,0
39,2,4,15,2,2,12,0,4,1,0,0,3,0,1
40,3,6,7,2,2,10,0,4,1,0,0,3,39,0
41,2,4,6,1,2,7,0,4,1,0,0,4,39,0
42,4,6,9,3,2,10,0,4,1,0,0,3,39,0
43,1,4,9,3,2,13,0,4,1,0,0,4,39,0
44,3,4,11,2,5,1,4,4,0,0,0,3,39,0
45,1,4,11,2,4,6,1,4,1,0,0,3,39,0
46,4,1,9,3,2,10,0,2,1,0,0,3,39,1
47,4,4,11,2,2,7,0,4,1,0,0,3,39,0
48,3,4,12,3,0,4,4,4,0,0,0,3,39,0
49,3,7,8,2,2,3,0,4,1,0,0,3,39,0
50,1,4,8,2,4,10,1,4,1,0,0,4,39,0
51,1,4,15,2,2,4,5,3,0,0,0,3,39,0
52,0,4,11,2,4,8,3,4,0,0,0,2,0,0
53,3,4,14,3,2,10,5,4,0,0,1,5,16,1
54,3,1,9,3,0,4,1,4,1,0,0,5,39,1
55,3,5,11,2,0,4,1,4,1,0,0,5,39,0
56,3,4,15,2,2,13,0,4,1,0,0,3,39,1
57,3,4,4,0,2,7,0,4,1,0,0,3,26,0
58,2,4,8,2,2,8,0,4,1,0,0,3,33,0
59,3,4,11,2,2,1,0,4,1,0,0,4,39,0
60,1,4,11,2,2,7,0,4,1,1,0,3,39,0
61,1,4,9,3,2,12,0,4,1,1,0,3,39,0
62,2,0,5,0,3,0,1,4,1,0,0,3,0,0
63,3,4,11,2,2,14,0,4,1,0,0,3,39,0
64,3,4,10,3,2,10,0,4,1,0,0,4,39,1
65,1,4,15,2,0,13,1,4,1,0,0,5,39,0
66,2,4,11,2,2,3,0,4,1,0,0,3,39,0
67,1,4,15,2,0,1,1,4,0,0,0,3,39,0
68,4,4,11,2,2,1,5,4,0,0,0,3,39,1
69,3,5,15,2,2,4,0,4,1,0,0,4,39,1
70,1,0,15,2,4,0,3,4,1,0,0,3,39,0
71,0,4,15,2,4,10,3,4,1,0,0,3,39,0
72,2,4,9,3,5,12,3,2,0,0,0,3,39,0
73,1,6,9,3,2,12,0,4,1,0,0,6,39,1
74,1,4,15,2,4,7,1,4,1,0,0,3,39,0
75,6,4,15,2,2,10,2,4,1,0,0,1,39,0
76,1,4,11,2,4,8,3,4,1,0,0,3,26,0
77,2,4,7,2,2,1,0,4,1,0,0,3,39,0
78,5,0,0,1,2,0,0,4,1,0,0,0,39,0
79,0,4,1,1,4,8,3,4,0,0,0,2,39,0
80,2,2,5,0,2,5,0,4,1,0,0,3,39,0
81,0,4,11,2,4,12,1,4,1,0,0,2,39,0
82,4,4,9,3,2,8,0,4,1,0,0,3,5,0
83,3,4,11,2,2,8,5,4,0,0,0,3,39,0
84,4,4,11,2,2,12,0,4,1,0,0,4,39,0
85,3,4,11,2,0,3,1,4,0,1,0,3,39,1
86,4,4,11,2,0,12,3,4,0,0,0,3,39,0
87,3,2,11,2,2,11,0,4,0,0,0,3,39,1
88,2,4,12,3,2,10,0,4,1,0,0,4,39,0
89,1,4,6,1,4,12,1,4,1,0,0,3,39,0
90,3,1,10,3,4,10,1,4,0,0,0,4,39,1
91,4,4,8,2,2,10,0,4,1,0,0,3,39,0
92,2,4,15,2,0,3,4,4,0,0,0,3,39,0
93,1,4,15,2,0,7,4,2,0,0,0,2,39,0
94,1,4,11,2,2,12,5,1,0,0,1,3,0,0
95,2,2,9,3,2,11,0,4,1,0,0,3,39,1
96,1,2,15,2,4,6,1,4,1,0,0,4,39,0
97,3,6,10,3,2,10,0,4,1,0,1,5,39,1
98,2,4,15,2,2,12,0,4,1,0,0,4,39,1
99,3,4,7,2,0,4,5,4,0,0,0,3,9,0
100,2,1,11,2,4,8,3,2,1,0,0,3,39,0
101,6,4,12,3,2,4,0,4,1,0,0,3,39,1
102,3,4,9,3,2,4,0,4,1,1,0,5,39,1
103,3,6,12,3,4,10,1,4,0,0,0,4,39,0
104,0,4,15,2,4,13,3,4,0,0,0,3,39,0
105,1,4,11,2,4,3,1,4,1,0,0,3,39,0
106,2,5,11,2,2,3,0,4,1,1,0,3,39,1
107,0,0,0,1,4,0,3,4,0,1,0,3,39,0
108,1,4,1,1,4,6,3,4,1,0,0,3,39,0
109,2,2,11,2,4,1,1,4,0,0,0,3,39,0
110,3,4,11,2,2,6,0,4,1,0,0,3,39,0
111,1,4,9,3,4,12,2,4,1,0,0,3,39,0
112,2,4,14,3,2,10,0,4,1,0,0,3,39,1
113,4,6,11,2,2,8,0,4,1,0,1,4,2,1
114,1,4,15,2,2,12,5,4,0,1,0,2,39,0
115,2,4,11,2,4,7,3,4,0,0,0,3,39,0
116,4,4,6,1,2,6,0,4,1,0,0,4,39,0
117,4,5,15,2,2,12,0,4,1,0,0,4,39,0
118,3,2,8,2,2,3,0,2,1,0,0,3,39,1
119,4,4,15,2,2,12,0,4,1,0,0,5,39,0
120,1,4,11,2,4,3,1,4,1,0,0,4,39,0
121,1,4,15,2,4,8,3,4,0,0,0,3,39,0
122,2,4,9,3,2,4,0,4,1,0,0,5,39,0
123,1,4,9,3,4,4,3,2,1,0,0,3,11,0
124,1,7,9,3,2,10,0,4,1,0,0,4,39,1
125,0,4,15,2,4,8,3,2,1,0,0,3,39,0
126,3,4,9,3,2,4,5,4,0,0,0,3,39,1
127,0,4,15,2,4,1,3,4,0,0,1,2,39,0
128,2,4,7,3,2,1,0,4,1,0,0,3,39,1
129,2,0,11,2,2,0,0,4,1,0,0,3,39,0
130,2,4,15,2,0,3,1,4,1,0,0,3,39,0
131,1,4,7,2,4,12,1,4,0,0,0,5,39,0
132,1,4,11,2,4,8,1,4,0,0,1,3,39,0
133,2,6,11,2,2,3,0,4,1,1,0,3,39,0
134,2,4,9,3,2,12,0,4,1,0,0,4,39,0
135,3,4,7,2,0,13,1,2,0,0,0,3,39,0
136,2,1,12,3,2,10,0,4,1,0,0,3,20,1
137,3,6,11,2,2,3,0,4,1,0,0,5,39,0
138,1,4,8,2,2,1,5,4,0,0,0,3,39,0
139,0,4,15,2,4,12,3,4,1,0,0,1,39,0
140,3,4,15,2,2,3,0,1,1,0,0,3,39,1
141,5,5,11,2,2,3,0,4,1,0,0,3,39,0
142,1,4,15,2,4,12,3,4,0,0,0,3,39,0
143,0,4,15,2,4,8,3,4,1,0,0,2,26,0
144,3,4,8,2,4,10,1,4,0,0,1,3,39,1
145,5,4,15,2,4,13,2,4,1,0,0,3,39,0
146,2,4,11,2,4,14,4,2,0,0,0,2,39,0
147,1,4,15,2,2,8,0,4,1,0,0,2,39,0
148,2,4,11,2,6,8,4,4,0,0,0,2,39,0
149,5,4,1,1,2,3,0,4,1,0,1,3,39,0
150,3,0,15,2,0,0,1,4,0,0,0,3,39,0
151,3,2,15,2,0,1,4,4,0,0,0,3,26,0
152,2,4,11,2,4,1,1,4,0,0,0,3,39,0
153,2,4,9,3,4,4,2,1,0,0,0,3,30,0
154,1,4,11,2,4,3,3,4,1,0,0,3,39,0
155,4,0,11,2,0,0,1,4,1,0,0,4,39,1
156,3,4,11,2,2,3,0,4,1,0,0,4,39,0
157,1,4,9,3,4,6,1,4,1,0,0,3,39,0
158,6,6,15,3,5,12,4,2,1,0,1,0,39,0
159,1,4,11,2,0,3,1,4,1,0,0,5,39,0
160,3,4,9,3,5,8,2,2,1,0,0,4,39,0
161,5,0,3,0,0,0,1,4,0,0,0,1,39,0
162,1,4,11,2,4,8,4,4,0,0,0,3,39,0
163,3,5,12,3,0,4,4,1,0,0,0,3,39,0
164,1,4,11,2,4,4,1,1,0,0,0,3,9,0
165,3,6,12,3,2,12,0,4,1,0,0,3,39,1
166,2,4,15,2,0,8,4,4,0,0,0,3,26,0
167,2,1,7,2,4,4,1,4,1,0,0,4,39,0
168,3,7,12,3,6,11,4,4,1,0,0,3,39,0
169,0,4,1,1,4,6,3,4,1,0,0,1,39,0
170,5,2,8,2,6,10,1,4,0,0,0,1,39,0
171,1,4,11,2,4,8,1,4,1,0,1,3,39,0
172,1,7,11,2,2,11,0,4,1,0,0,3,39,0
173,4,4,15,2,2,12,0,4,1,0,1,3,39,1
174,1,4,9,3,4,3,1,4,1,0,0,4,39,0
175,1,7,9,3,2,10,0,4,1,0,0,3,39,1
176,1,4,11,2,3,12,4,4,0,0,0,2,39,0
177,1,4,11,2,4,3,3,2,1,0,0,3,39,0
178,2,4,11,2,4,6,1,2,1,0,0,3,39,0
179,0,4,11,2,4,8,3,4,1,0,0,1,39,0
180,2,4,9,3,2,10,0,4,1,0,0,6,39,0
181,3,2,15,2,2,4,0,2,1,0,0,3,39,1
182,3,4,15,2,0,1,1,4,0,0,0,3,39,0
183,1,4,15,2,4,3,1,2,1,0,0,4,39,0
184,2,4,5,0,2,7,0,4,1,0,0,3,26,1
185,2,1,15,2,2,1,0,4,1,0,0,4,39,1
186,2,4,11,2,2,1,0,2,1,0,0,3,39,0
187,3,6,9,3,0,4,1,4,0,0,0,3,39,0
188,4,0,9,3,0,0,1,4,0,0,0,4,39,0
189,2,4,12,3,2,10,5,4,0,0,0,4,39,0
190,4,7,10,3,2,10,0,4,1,0,0,0,39,1
191,2,4,15,2,0,7,1,2,0,0,0,2,39,0
192,1,4,15,2,2,7,0,4,1,0,0,3,39,0
193,3,2,9,3,2,3,0,2,1,0,0,3,39,0
194,3,4,15,2,2,13,0,4,1,0,0,4,39,0
195,3,1,9,3,2,13,0,4,1,0,0,2,39,0
196,1,4,4,0,2,14,2,4,1,0,0,3,26,0
197,2,4,15,2,0,3,1,4,1,0,0,3,39,0
198,2,1,12,3,4,4,1,4,0,1,0,5,39,1
199,2,4,12,3,2,10,2,4,1,1,0,3,39,1
200,1,6,11,2,4,12,1,4,1,0,0,3,39,0
201,1,4,12,3,4,10,1,4,0,0,1,3,39,0
202,0,0,11,2,4,0,3,4,1,0,0,3,23,0
203,4,4,9,3,2,4,0,4,1,0,0,4,39,1
204,3,2,15,2,4,10,1,4,0,0,1,3,39,0
205,2,7,11,2,0,1,4,4,0,0,0,3,39,0
206,0,4,1,1,4,12,3,4,0,0,0,3,39,0
207,2,4,9,3,2,8,0,2,1,1,0,3,39,1
208,2,4,11,2,0,3,1,4,1,0,0,5,39,0
209,4,5,11,2,2,12,5,4,0,1,0,3,39,1
210,0,4,1,1,4,12,3,4,0,0,0,1,39,0
211,3,2,11,2,2,14,0,2,1,0,0,3,39,0
212,2,4,11,2,2,3,0,4,1,0,0,3,39,1
213,2,4,15,2,4,12,1,0,0,0,0,3,39,0
214,4,4,11,2,2,3,0,1,1,0,0,3,39,0
215,4,5,5,0,2,7,0,4,1,0,0,3,39,1
216,2,4,9,3,4,4,1,2,1,0,0,5,39,1
217,3,4,7,2,0,12,1,4,0,0,0,3,39,0
218,2,4,9,3,2,12,0,4,1,0,0,4,31,0
219,3,4,9,3,2,10,0,4,1,0,0,5,39,0
220,1,4,0,1,4,3,1,4,1,0,0,3,39,0
221,2,4,15,2,2,6,0,4,1,0,0,3,39,0
222,5,0,3,0,0,0,1,4,1,0,0,3,39,0
223,6,4,11,2,4,9,1,2,1,0,1,3,39,0
224,4,4,11,2,2,1,0,2,1,0,0,1,39,0
225,4,2,13,0,4,7,1,4,0,0,0,3,39,0
226,0,4,11,2,4,12,3,4,0,0,0,3,39,0
227,4,0,0,1,0,0,1,0,0,0,0,0,39,0
228,5,6,11,2,2,5,0,4,1,1,0,4,39,0
229,6,4,8,2,6,1,1,4,0,0,0,1,4,0
230,5,4,11,2,0,1,1,4,0,0,0,3,39,0
231,2,4,1,1,5,14,1,2,1,1,0,3,39,0
232,3,4,11,2,0,12,4,2,0,0,0,3,39,0
233,1,4,15,2,4,1,1,4,1,0,0,4,39,0
234,2,4,15,2,0,3,2,3,0,0,0,3,39,0
235,1,4,14,3,4,10,1,4,1,0,0,5,39,1
236,4,7,11,2,2,8,0,4,1,0,0,3,39,0
237,2,7,15,2,4,1,1,4,0,0,0,3,39,0
238,3,4,9,3,2,4,0,4,1,0,0,4,20,1
239,2,2,12,3,2,4,0,4,1,0,0,6,39,1
240,1,4,11,2,4,14,3,4,1,0,0,3,39,0
241,2,4,9,3,2,10,0,4,1,0,0,3,39,1
242,3,6,11,2,2,8,5,4,0,0,0,1,39,0
243,1,7,7,2,2,11,0,4,1,0,0,4,39,0
244,0,0,15,2,4,0,3,4,1,0,0,1,39,0
245,2,4,15,2,0,3,1,4,1,0,1,3,39,0
246,4,4,11,2,2,1,0,4,1,0,0,3,0,0
247,4,4,11,2,2,1,0,4,1,0,0,4,39,1
248,2,4,11,2,4,8,1,4,0,0,0,3,39,0
